"gene" "label"
"RP11-34P13.7" "None"
"FO538757.2" "None"
"AP006222.2" "None"
"RP4-669L17.10" "None"
"RP5-857K21.4" "None"
"RP11-206L10.9" "None"
"LINC00115" "None"
"FAM41C" "None"
"RP11-54O7.1" "None"
"RP11-54O7.3" "None"
"SAMD11" "None"
"NOC2L" "None"
"KLHL17" "None"
"PLEKHN1" "None"
"RP11-54O7.17" "None"
"HES4" "None"
"ISG15" "gd_T_2"
"AGRN" "Cholan"
"C1orf159" "None"
"RP11-465B22.8" "None"
"TTLL10" "None"
"TNFRSF18" "None"
"TNFRSF4" "None"
"SDF4" "PortHep"
"B3GALT6" "None"
"FAM132A" "None"
"UBE2J2" "any_T_cell"
"SCNN1D" "None"
"ACAP3" "None"
"PUSL1" "None"
"CPSF3L" "None"
"CPTP" "None"
"TAS1R3" "None"
"DVL1" "None"
"MXRA8" "Stellate"
"AURKAIP1" "CentralHep"
"CCNL2" "PortHep"
"MRPL20" "Hep"
"RP4-758J18.13" "None"
"ANKRD65" "None"
"RP4-758J18.10" "None"
"VWA1" "None"
"ATAD3C" "None"
"ATAD3B" "None"
"ATAD3A" "None"
"TMEM240" "None"
"SSU72" "None"
"RP5-832C2.5" "None"
"C1orf233" "None"
"RP11-345P4.9" "None"
"MIB2" "None"
"MMP23B" "Stellate"
"CDK11B" "None"
"RP11-345P4.10" "None"
"SLC35E2B" "None"
"RP11-345P4.7" "None"
"CDK11A" "None"
"SLC35E2" "None"
"NADK" "PortHep"
"GNB1" "None"
"RP1-140A9.1" "None"
"CALML6" "None"
"TMEM52" "None"
"CFAP74" "None"
"PRKCZ" "None"
"RP5-892K4.1" "None"
"RP11-181G12.2" "None"
"FAAP20" "None"
"SKI" "None"
"MORN1" "None"
"RER1" "None"
"PEX10" "None"
"PLCH2" "None"
"PANK4" "None"
"RP3-395M20.12" "None"
"RP3-395M20.8" "None"
"TNFRSF14" "any_T_cell"
"RP3-395M20.9" "None"
"FAM213B" "None"
"MMEL1" "None"
"TTC34" "None"
"LINC00982" "None"
"PRDM16" "Cholan"
"ARHGEF16" "None"
"MEGF6" "Stellate"
"TPRG1L" "None"
"WRAP73" "None"
"TP73" "None"
"RP5-1092A11.5" "None"
"TP73-AS1" "None"
"SMIM1" "Erythroid"
"LRRC47" "None"
"CEP104" "None"
"DFFB" "None"
"C1orf174" "None"
"LINC01134" "None"
"AJAP1" "None"
"NPHP4" "None"
"KCNAB2" "None"
"CHD5" "None"
"RPL22" "any_B_cell"
